mouths	used for talking
briefcases	located in airports
cleanups	part of batting order
rumination	vomit
pepperonis	food
love	part of life
quarters	people
cake	false
bowties	ties
noses	cold
choices	actions
genes	organic matter
beers	alcoholic drinks
sitcoms	located in tv
right triangles	triangles
trainers	capable of school students
computers	different from people
markers	symbols
doors	capable of closes
broads	women
fiber optics	transmissions
patties	candy
holes	used for entries
pirates	films
frayed wire	capable of short circuits
jukeboxs	located in cafes
vexatious litigant	well versed in rights
rights	positions
railroad tracks	located in train stations
watchs	shifts
water	necessary to sustain carbon based life
grocery stores	located in cities
chocolate and strawberries	edible
orphans	youngs
slavery	coercion
salivation	secretion
people go to doctors when	sick
apartments	located in apartment buildings
hamstringings	cripplings
flanks	cuts of beef
strangulation	disorder
tools	located in shops
insulation	protection
linnets	finchs
potassium chlorates	salt
fishermans	people
human being	located in streets
clans	games
sun	shining
autism	syndromes
snakes	located in barns
parenthesises	punctuation
raises	increases
irises	body parts
inhaled anthrax	rare
geosynchronous orbits	orbits
puppies	pups
kindness	good
subductions	geological processes
dessert	courses
asthma attacks	illnesses
brooms	located in closets
stalls	located in bathrooms
rushs	cause rushs
rings	used for fingers
restlessness	causes a desire to hikes
knifes	used for corings
computer disks	used for store information
masters	authority
heating pads	located in suitcases
house plants	flowers
agnostics	religionists
paleontology	earth science
black belts	magazines
depressions	sadness
eyebrows	hair
bloodhounds	weapons
chow	fares
marinara sauce	red
electric toothbrushes	inferior to normal toothbrushes
processors	business
refrigerator freezer	cold
boats	located in water
go	programming language
irons	located in ore
photonic crystal	crystal
paint	located in porchs
refills	fill
cabinets	located in pantries
boards	located in buildings
paperings	pplications
leopard seals	mammals
wilderness parks	parks
culture	located in bodies
yellowwoods	wood
lemurs	located in rain
sand	gritty
newtons	located in trees
blenders	located in kitchens
shelfs	located in closets
capitalists	conservatives
ingredients	foodstuff
emeralds	green
bakelite	substitute for porcelain
holiday seasons	seasons
epochs	geological time
cooked food	ready for dinner table
current	located in water
rests	reads
berries	have seeds
gametophytes	plants
vaccines	liquids
throats	openings
lying	used for cheating
vinyl	used for produce
increases	processes
exhibitionisms	ostentation
puppets	dolls
telephone books	located in telephone booths
importers	businesspersons
hurdles	barriers
sponges	animals
water holes	ponds
hearts	located in chests
turmerics	herbs
ecosystems	natural things
radiation therapy	medical treatments
green algae	marine organisms
playing sports	cause wins
helmets	covering
genealogists	experts
stimulants	medicine
pots	located in restaurants
papains	enzymes
drinks	intemperance
playing games	cause fun
flowers	yellow
interest rates	interest rates
birthday parties	physical events
scuba diving	capable of dangerous activities
files	software
anal cancer	diseases
tacks	sailing
room	upstairs from garage
human children	located in countries
drives	used for use computers
theater tickets	located in pockets
acts	part of ballet
trash containers	located in restaurants
conductors	located in subways
weapons	more than one weapon
morsels	taste
atmospheres	weather
marmosets	located in pairs
contraceptives	devices
opposite of real	imaginary
proturans	insects
no two human beings	alike
acoustics	remedies
jumps	motivated by the goal of scareds
twos	digits
cartoons	shows
poop	disgusting
stain of metals	toxic
insecticide	toxic substances
coin	located in purses
staff	sticks
human being	smokers
fleas	located in zoos
facial expressions	important to humans
black ducks	ducks
slip rings	connections
iris of eye	colored
coat hangers	inanimate objects
cats	located in chairs
familiars	servants
hyperactivities	disorder
sign language	language
pigmentation	coloration
demonstrations	communicating
lawns	located in yards
control panels	devices
intersections	located in towns
teratogens	drugs
pulp	part of tooths
soup	located in cans
kittens	located in sunshine
banana bread	bread
people feel birthday parties	exciting
execute permission	computer files
hieroglyphs	writing
barbecues	used for cook meat
livings	cause respiration
cleaning	vacuums
masks	disguises
security	safety
hunger	uncomfortable
identities	personality
annuity	investment vehicles
motors	inventions
throats	solid objects
fingertips	part of fingers
sublimation	transformation
passive resistance	direct actions
creatines	chemical compounds
conveyor belts	routes
eats	located in dinner
pulsation	waves
assertions	assertions
election days	used for voting
fourier analysises	analysises
conspicuous consumption	consumption
dartboards	round
articles	determiners
hose	solid objects
cabbages	vegetables
umbrellas	used for rain storms
songs	poetry
small ships	ships
puffs	part of smoke
lead	graphite
well done	better than well said
wings	located in airplanes
human bodies	located in funerals
heart attacks	heart failure
nerves	part of bodies
ice	used for cold
climates	environmental conditions
gyros	sandwichs
agribusinesses	commercial enterprises
flower gardens	located in universities
nickels	silver
feedback	swers
cheese	made of milk
ironing	maintenance
emotion	part of minds
fire	used for cook food
patch tests	skin tests
fraud	crime
projectiles	located in canons
scientists	capable of experiments
hormones	inanimate objects
decanters	located in labs
plausibility	credibility
toilets	located in hotels
small change	located in pockets
square root of sixty four	eight
hoaxs	situations
quality	more important than quantity
electronic filters	electronic components
hyssops	part of hyssops
emptiness	located in space
barium hydroxide	crystal
programs	projects
horses	located in cartoons
limbs	appendages
tidewaters	coastal plains
tuberculosis	chronic conditions
skating	cause fallings
toxic chemicals	located in chemistry labs
sequences	functions
lodgings	located in inns
lozenges	candy
lakes	located in forests
pacific oceans	used for fishing
flats	plains
pacific oceans	used for swims
gurus	teachers
hardhat	red
cardinals	birds
plutonium	chemical elements
livers	part of circulatory systems
wood	used for campfires
ribs	structures
lasers	used for light
pain	bands
floors	located in schools
rattans	calamuses
vendors	located in conferences
northern flickers	birds
punchings	causes fights
snapshots	pictures
clots	balls
