wet ice	discharge	0
orthogonalities	merchandise	0
hulks	located in saltwaters	0
comic books	copies	0
sea	has seawater	1
dust	baked in ovens	0
bibles	part of golf courses	0
acne medication	fun	0
rhetoric	located in kitchens.	0
bridges	violence	0
polychaetes	annelids	1
aeroplanes	processes	0
bacon	part of electromagnets	0
mescaline	hallucinogens	1
pudding	sites	0
energy	jewelry	0
dies	part of goats	0
dentists	alogues	0
primulas	body parts	0
chain	gold foil	0
cashews	food	0
seats	visual communication	0
ammonia	almost as large as jupiter	0
syndromes	used for sex	0
spinels	motivated by the goal of revenge	0
computer users	round	0
putting kittens through blender	bad for health	0
bottles	made of flesh	0
green rivers	wide	0
cleaning	removings	1
fire extinguishers	located in cabinets	0
caretakers	hard or soft	0
oven mitts	influence	0
shopaholics	resources	0
sports medicine	machines	0
physicists	part of musical notation	0
fish	imals	1
earth	utilities.	0
tea	jealous of power	0
packages	located in cities	0
texas and mexico	used for cleanliness	0
people	capable of voice commands	0
postage stamps	barren	0
experts	noise	0
planes	balls	0
negotiators	abstract	0
junctions	located in houses	0
swine influenza	important	0
attacks	radioactive substances	0
enfilades	breaks	0
clergymans	meals	0
pendants	used for sells	0
surface chemistry	animals	0
miniature pets	snakes	0
babies	more spherical than adults	1
air units	military units	1
mail	diseases	0
blackflies	magazines	0
output	body parts	0
neighbors	rests	0
scarletina	advantage	0
stuffed animals	part of stadiums	0
billboards	cause fitnesses	0
death	flowers	0
peregrine falcons	coldness	0
heat pumps	commitment	0
first ladies	id	0
portal veins	very slow	0
greenwoods	sedimentary rocks	0
penalties	hawks	0
shuttle buses	drinks	0
commercial buildings	wheat	0
protozoans	somatic cells	1
body temperature	forms of energy	0
diesel	buildings	0
power	crop plants	0
ophthalmologists	diseases	0
japanese honeysuckles	honeysuckles	1
sun	joyful or painful	0
salt	medical care	0
libraries	located in trains	0
ancestors	inference	0
styluses	craftsmans	0
poker hands	capable of fights	0
dirt	workers	0
hay fevers	allergic rhinitis	1
counters	flow	0
diplomats	workers	1
carpets	loops	0
british call erasers rubbers which	growth	0
shopaholics	shoppers	1
remands	located in houses	0
spit	located in laptops	0
diseases	building products	0
damage control	used for dates	0
cases	problems	1
dormitories	retail stores	0
humic acid	located in japans	0
bats	formulas	0
economy	located in handbags	0
marginal cost	lubricant	0
mats	aquatic organisms	0
facilitators	artists	0
speakers	albums	0
monetary transactions	table games	0
marketing	placements	0
hyperventilations	poems	0
information	journalists	0
body shops	companies	1
shopping bags	communication	0
starlights	light	1
floaters	wrights	0
chapels	used for exercising	0
overloads	load	1
facilities	rich	0
blood drives	located in movies	0
lychees	conditions	0
teaching methods	cultureds.	0
lobbies	objects	0
address books	devices	0
members	clear	0
derivations	unable to alone with themselves	0
coffee	used for hits	0
illnesses	located in towns	0
formality	beds	0
drips	devices	0
parking spots	located in motels	1
cockroachs	wood	0
photons	part of electromagnetic radiation	1
honesty	capable of row boats	0
spins	fast food	0
schedules	people	0
chalk	better than reality	0
smile of child	good	1
counts	organic matter	0
active applications	means	0
smiling	social welfare	0
flesh of cows	offended	0
fluvastatins	statin	1
roosters	buildings	0
hives	attackers	0
capital stock	located in parties	0
operations	mostly for sleeping resting and napping	0
prosecutors	boards	0
climbing	diseases	0
control experiments	thropology	0
lettuce	slow growing	0
scenes	arrangements	0
dancing	adults	0
latchkeys	herbs	0
heat sources	pale yellow	0
ergotamines	have keyboards	0
pulsation	located in mail boxs	0
pushers	part of food processors	1
solubility	formulas	0
playing cards	used for fun	1
takeoffs	metabolism	0
cats	gametes	0
oceanographers	located in cans	0
pandemics	remarks	0
blastomycosis	fabric	0
hosts	symbols	0
definition	body parts	0
candles	located in theaters	0
anthuriums	clergymans	0
freelance writers	black	0
high explosives	located in cans	0
mouses	cruciferous vegetables	0
drills	organizations.	0
participants	associates	1
people	natural things	0
o	part of great apes	0
hole	located in refrigerators	0
chili	people.	0
inquests	ideas	0
sleep	popular for birthdays	0
social events	part of pneumoconiosis	0
instruments	consumable products	0
astringencies	taste.	1
aircrafts	technology	0
calcium carbonate	ionic compounds	1
old furniture	swords	0
maids	buildings.	0
chronological ages	folds	0
prostitutes	located in tables	0
plastic	bases	0
colchicines	electronic devices	0
paper towels	located in pantries	1
dental records	located in dentists	1
ohms	located in shady spots	0
lets	serve	1
meclizines	drugs	1
fat people	recycled and made into new objects	0
car parks	short	0
orbits	food	0
essayists	have tails	0
departures	issuing	1
cows	located in cornfields	1
lovers	diseases	0
baseball	minerals	0
chips	located in ovens	0
suits	superstitious	0
robots	neurologists	0
black	used for entertainment	0
buttes	located in pits	0
fanaticisms	intolerance	1
mule	located in school yards	0
faxings	likely to read food magazines	0
bass	located in jazz bands	1
flying carpet	magic	1
